Product Name,Product URL,product_url_base,Image URL,Variant Option,Price,Currency,Availability,Customization Options,Shipping Min (days),Shipping Max (days)
Hindi Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-1,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-1,https://www.zwende.com/cdn/shop/files/b1_6.jpg?v=1739195677,16 x 22 Inches,6450,INR,InStock,"Font, Image Upload, Text",3,15
Kannada Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-2,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-2,https://www.zwende.com/cdn/shop/files/d2_1_7193f4fb-b453-4162-b382-05997f5d2bf8.jpg?v=1739194352,12 x 16 Inches,5450,INR,InStock,"Font, Image Upload, Text",3,15
Kannada Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-2,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-2,https://www.zwende.com/cdn/shop/files/d2_1_7193f4fb-b453-4162-b382-05997f5d2bf8.jpg?v=1739194352,16 x 22 Inches,6450,INR,InStock,"Font, Image Upload, Text",3,15
Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-3,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-3,https://www.zwende.com/cdn/shop/files/8_1_1e3bd022-3c27-486a-bbd3-08597af7daac.jpg?v=1738942766,12 x 16 Inches,5450,INR,InStock,"Font, Image Upload, Text",3,15
Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-3,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-3,https://www.zwende.com/cdn/shop/files/8_1_1e3bd022-3c27-486a-bbd3-08597af7daac.jpg?v=1738942766,16 x 22 Inches,6450,INR,InStock,"Font, Image Upload, Text",3,15
Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-copy-1,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-copy-1,https://www.zwende.com/cdn/shop/files/9_2_d866e2a9-e8fc-47b3-af07-528d80e37495.jpg?v=1738942891,12 x 16 Inches,5450,INR,InStock,"Font, Image Upload, Text",3,15
Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-copy-1,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-copy-1,https://www.zwende.com/cdn/shop/files/9_2_d866e2a9-e8fc-47b3-af07-528d80e37495.jpg?v=1738942891,16 x 22 Inches,6450,INR,InStock,"Font, Image Upload, Text",3,15
Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-copy,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-copy,https://www.zwende.com/cdn/shop/files/7_3_207c3b1e-1de5-44ce-810c-66cefcc5e8f4.jpg?v=1738942315,12 x 16 Inches,5450,INR,InStock,"Font, Image Upload, Text",3,15
Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-copy,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers-copy,https://www.zwende.com/cdn/shop/files/7_3_207c3b1e-1de5-44ce-810c-66cefcc5e8f4.jpg?v=1738942315,16 x 22 Inches,6450,INR,InStock,"Font, Image Upload, Text",3,15
Arched Vintage Window Name Plate With Artwork,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers,https://www.zwende.com/products/arched-vintage-window-name-plate-with-wild-flowers,https://www.zwende.com/cdn/shop/files/Shreya_beats_Arched-Vintage-Window-Name-Board-with-Wild-Flower_PDP1.jpg?v=1703159840,12 x 16 Inches,5450,INR,InStock,"Font, Image Upload, Text",3,15
